"","State","Countynames","Code","FIPS","Population"
"500","Georgia","Quitman ","GA",13239,4558
"501","Georgia","Rabun ","GA",13241,33734
"502","Georgia","Randolph ","GA",13243,13666
"503","Georgia","Richmond ","GA",13245,403108
"504","Georgia","Rockdale ","GA",13247,181188
"505","Georgia","Schley ","GA",13249,10472
"506","Georgia","Screven ","GA",13251,27876
"507","Georgia","Seminole ","GA",13253,16630
"508","Georgia","Spalding ","GA",13255,132200
"509","Georgia","Stephens ","GA",13257,52070
"510","Georgia","Stewart ","GA",13259,12398
"511","Georgia","Sumter ","GA",13261,59466
"512","Georgia","Talbot ","GA",13263,12544
"513","Georgia","Taliaferro ","GA",13265,3216
"514","Georgia","Tattnall ","GA",13267,50782
"515","Georgia","Taylor ","GA",13269,16078
"516","Georgia","Telfair ","GA",13271,31752
"517","Georgia","Terrell ","GA",13273,17222
"518","Georgia","Thomas ","GA",13275,88896
"519","Georgia","Tift ","GA",13277,81142
"520","Georgia","Toombs ","GA",13279,53774
"521","Georgia","Towns ","GA",13281,23704
"522","Georgia","Treutlen ","GA",13283,13618
"523","Georgia","Troup ","GA",13285,140068
"524","Georgia","Turner ","GA",13287,15824
"525","Georgia","Twiggs ","GA",13289,16376
"526","Georgia","Union ","GA",13291,48002
"527","Georgia","Upson ","GA",13293,52430
"528","Georgia","Walker ","GA",13295,138820
"529","Georgia","Walton ","GA",13297,187006
"530","Georgia","Ware ","GA",13299,71360
"531","Georgia","Warren ","GA",13301,10502
"532","Georgia","Washington ","GA",13303,40772
"533","Georgia","Wayne ","GA",13305,59616
"534","Georgia","Webster ","GA",13307,5222
"535","Georgia","Wheeler ","GA",13309,15758
"536","Georgia","White ","GA",13311,59940
"537","Georgia","Whitfield ","GA",13313,208124
"538","Georgia","Wilcox ","GA",13315,17624
"539","Georgia","Wilkes ","GA",13317,19752
"540","Georgia","Wilkinson ","GA",13319,18072
"541","Georgia","Worth ","GA",13321,40598
"542","Hawaii","Hawaii ","HI",15001,401966
"543","Hawaii","Honolulu ","HI",15003,1960160
"544","Hawaii","Kalawao ","HI",15005,176
"545","Hawaii","Kauai ","HI",15007,144266
"546","Hawaii","Maui ","HI",15009,334414
"547","Idaho","Ada ","ID",16001,939932
"548","Idaho","Adams ","ID",16003,8500
"549","Idaho","Bannock ","ID",16005,174276
"550","Idaho","Bear Lake ","ID",16007,12100
"551","Idaho","Benewah ","ID",16009,18452
"552","Idaho","Bingham ","ID",16011,92472
"553","Idaho","Blaine ","ID",16013,45202
"554","Idaho","Boise ","ID",16015,15268
"555","Idaho","Bonner ","ID",16017,89454
"556","Idaho","Bonneville ","ID",16019,233708
"557","Idaho","Boundary ","ID",16021,23896
"558","Idaho","Butte ","ID",16023,5222
"559","Idaho","Camas ","ID",16025,2254
"560","Idaho","Canyon ","ID",16027,446998
"561","Idaho","Caribou ","ID",16029,14120
"562","Idaho","Cassia ","ID",16031,47728
"563","Idaho","Clark ","ID",16033,1704
"564","Idaho","Clearwater ","ID",16035,17516
"565","Idaho","Custer ","ID",16037,8560
"566","Idaho","Elmore ","ID",16039,54518
"567","Idaho","Franklin ","ID",16041,27452
"568","Idaho","Fremont ","ID",16043,26336
"569","Idaho","Gem ","ID",16045,35268
"570","Idaho","Gooding ","ID",16047,30392
"571","Idaho","Idaho ","ID",16049,33026
"572","Idaho","Jefferson ","ID",16051,58878
"573","Idaho","Jerome ","ID",16053,48030
"574","Idaho","Kootenai ","ID",16055,323010
"575","Idaho","Latah ","ID",16057,80268
"576","Idaho","Lemhi ","ID",16059,15922
"577","Idaho","Lewis ","ID",16061,7722
"578","Idaho","Lincoln ","ID",16063,10720
"579","Idaho","Madison ","ID",16065,78608
"580","Idaho","Minidoka ","ID",16067,41650
"581","Idaho","Nez Perce ","ID",16069,80816
"582","Idaho","Oneida ","ID",16071,8976
"583","Idaho","Owyhee ","ID",16073,23386
"584","Idaho","Payette ","ID",16075,47102
"585","Idaho","Power ","ID",16077,15536
"586","Idaho","Shoshone ","ID",16079,25592
"587","Idaho","Teton ","ID",16081,23280
"588","Idaho","Twin Falls ","ID",16083,172162
"589","Idaho","Valley ","ID",16085,22082
"590","Idaho","Washington ","ID",16087,20322
"591","Illinois","Adams ","IL",17001,131382
